,artist_name,track_name,track_id,popularity
250,A Boogie Wit da Hoodie,Love Drugs and Sex,1Gno5IBUHh6vUKp4nxu2Yd,77
251,Ozuna,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,88
252,Jason Aldean,Girl Like You,7K0lR5Ngf5jkOWt1g6ut6l,76
253,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,79
254,Joji,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,79
255,Karol G,Culpables,6q8Lb50EtqNeeJXXe8mMAH,87
256,Drake,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0,82
257,Jason Aldean,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,75
258,Post Malone,92 Explorer,1D2L6MefbXon28PzIk9I3r,79
259,Ski Mask The Slump God,Catch Me Outside,4rgwri7LajWVZvdj2N81SS,78
260,The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,81
261,Shoreline Mafia,Nun Major,18pwD0HrweX8oCgIkayRb4,76
262,Eminem,The Ringer,2jt2WxXMCD4zjACthkJQVE,81
263,Logic,44 More,3e7Y6sfFlIdBMJhX7wpqVO,78
264,Post Malone,Spoil My Night (feat. Swae Lee),5VuxWXbt7XENQCtE9TzpTv,79
265,Lukas Graham,Love Someone,2JqnpexlO9dmvjUMCaLCLJ,86
266,Why Don't We,8 Letters,4zRZAmBQP8vhNPf9i9opXt,81
267,Khalid,Suncity (feat. Empress Of),6SkHm6poyKfzV6kc9any8k,82
268,Sabrina Carpenter,Sue Me,3WVhkjB7Y4xFruqoCAajBb,80
269,Maroon 5,Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,77
270,Eminem,Venom - Music From The Motion Picture,2SL6oP2YAEQbqsrkOzRGO4,82
271,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",1oJ8EDr2pv94IvSd6ZmDgo,80
272,Travis Scott,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn,78
273,Kanye West,All Mine,3U21A07gAloCc4P7J8rxcn,78
274,YNW Melly,Mind On My Murder,2xBfOUdiRafSWGqTj4yToU,76
275,Roddy Ricch,Die Young,1lWK70HfYRFZtWJUwUrY48,78
276,Tyga,SWISH,55GiOwtxNajXVbpjjIzMnD,83
277,Blackway,What's Up Danger (with Black Caviar),5zsHmE2gO3RefVsPyw2e3T,79
