,artist_name,track_name,track_id,popularity
233,Jimmie Allen,Best Shot,3VamXAvVMczcS2PTYtPfBQ,77
234,Cardi B,Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,78
235,Twenty One Pilots,Chlorine,23OXdR7YuUBVWh5hSnYJau,83
236,Jason Aldean,Girl Like You,7K0lR5Ngf5jkOWt1g6ut6l,76
237,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,83
238,lovelytheband,broken,6XcfKZvJio9Z0fQy11GnNX,78
239,Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd,78
240,Paulo Londra,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,94
241,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,79
242,A Boogie Wit da Hoodie,Come Closer (feat. Queen Naija),3UhRsQVrELOATEiY7E9X2T,78
243,Bas,Tribe (with J. Cole),0YAQnYt2oB8OdoaeqnHyTI,78
244,YNW Melly,Virtual (Blue Balenciagas),792MY19uNkA4SJBqdw5a84,76
245,Bazzi,3:15,6pmZMP2ET1OJi5rKfLO8jD,78
246,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),3vWzyGTu6Ovo1GdrcJqH6e,79
247,Social House,Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,77
248,Bad Bunny,Solo de Mi,5YOkA7qd2983FtBQnP8sYx,84
249,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,79
250,Gucci Mane,Wake Up in the Sky,2G1tXoGBaEMJ7FKGnkf6ud,80
251,Ozuna,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,88
252,A Boogie Wit da Hoodie,Love Drugs and Sex,1Gno5IBUHh6vUKp4nxu2Yd,77
253,Karol G,Culpables,6q8Lb50EtqNeeJXXe8mMAH,86
254,Jason Aldean,You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,75
255,Post Malone,92 Explorer,1D2L6MefbXon28PzIk9I3r,79
256,Drake,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0,82
257,Ski Mask The Slump God,Catch Me Outside,4rgwri7LajWVZvdj2N81SS,78
258,Shoreline Mafia,Nun Major,18pwD0HrweX8oCgIkayRb4,76
259,The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,81
